Frequency (Hz),Magnitude (dB),Phase (degrees)
41.78303666,13.97956426,-0.15884545
41.87935651,13.97956501,-0.159211641
41.9758984,13.97956578,-0.159578677
42.07266284,13.97956654,-0.159946559
42.16965034,13.97956731,-0.160315289
42.26686143,13.97956808,-0.160684869
42.3642966,13.97956886,-0.161055301
42.46195639,13.97956964,-0.161426588
42.55984131,13.97957042,-0.16179873
42.65795188,13.9795712,-0.16217173
42.75628862,13.97957199,-0.16254559
42.85485204,13.97957279,-0.162920313
42.95364268,13.97957358,-0.163295899
43.05266105,13.97957439,-0.163672351
43.15190768,13.97957519,-0.164049671
43.2513831,13.979576,-0.164427861
43.35108784,13.97957681,-0.164806923
43.45102242,13.97957763,-0.165186858
43.55118737,13.97957845,-0.16556767
43.65158322,13.97957927,-0.16594936
43.75221052,13.9795801,-0.166331929
43.85306978,13.97958093,-0.166715381
43.95416154,13.97958176,-0.167099717
44.05548635,13.9795826,-0.167484939
44.15704474,13.97958344,-0.167871049
44.25883724,13.97958429,-0.168258049
44.36086439,13.97958514,-0.168645942
44.46312675,13.97958599,-0.169034729
44.56562484,13.97958685,-0.169424412
44.66835922,13.97958771,-0.169814993
44.77133042,13.97958858,-0.170206476
44.87453899,13.97958945,-0.17059886
44.97798549,13.97959032,-0.17099215
45.08167045,13.9795912,-0.171386346
45.18559444,13.97959208,-0.171781451
45.28975799,13.97959297,-0.172177467
45.39416167,13.97959386,-0.172574396
45.49880602,13.97959475,-0.17297224
45.6036916,13.97959565,-0.173371001
45.70881896,13.97959656,-0.173770682
45.81418867,13.97959746,-0.174171284
45.91980128,13.97959837,-0.17457281
46.02565736,13.97959929,-0.174975262
46.13175746,13.97960021,-0.175378641
46.23810214,13.97960113,-0.175782951
46.34469197,13.97960206,-0.176188192
46.45152752,13.97960299,-0.176594368
46.55860935,13.97960393,-0.177001481
46.66593803,13.97960487,-0.177409532
46.77351413,13.97960582,-0.177818524
46.88133821,13.97960676,-0.178228458
46.98941086,13.97960772,-0.178639338
47.09773264,13.97960868,-0.179051166
47.20630413,13.97960964,-0.179463943
47.3151259,13.97961061,-0.179877671
47.42419853,13.97961158,-0.180292354
47.53352259,13.97961256,-0.180707992
47.64309868,13.97961354,-0.181124589
47.75292737,13.97961452,-0.181542146
47.86300923,13.97961551,-0.181960666
47.97334486,13.97961651,-0.182380151
48.08393484,13.9796175,-0.182800603
48.19477976,13.97961851,-0.183222025
48.3058802,13.97961952,-0.183644418
48.41723676,13.97962053,-0.184067785
48.52885002,13.97962155,-0.184492128
48.64072057,13.97962257,-0.18491745
48.75284901,13.9796236,-0.185343752
48.86523593,13.97962463,-0.185771037
48.97788194,13.97962566,-0.186199307
49.09078762,13.9796267,-0.186628565
49.20395357,13.97962775,-0.187058812
49.3173804,13.9796288,-0.187490052
49.4310687,13.97962986,-0.187922285
49.54501908,13.97963092,-0.188355515
49.65923215,13.97963198,-0.188789745
49.7737085,13.97963305,-0.189224975
49.88844875,13.97963413,-0.189661208
50.0034535,13.97963521,-0.190098448
50.11872336,13.97963629,-0.190536696
50.23425895,13.97963738,-0.190975954
50.35006088,13.97963848,-0.191416225
50.46612976,13.97963958,-0.191857511
50.5824662,13.97964069,-0.192299814
50.69907083,13.9796418,-0.192743137
50.81594426,13.97964291,-0.193187482
50.93308711,13.97964403,-0.193632852
51.0505,13.97964516,-0.194079249
51.16818355,13.97964629,-0.194526675
51.2861384,13.97964743,-0.194975133
51.40436516,13.97964857,-0.195424624
51.52286446,13.97964972,-0.195875152
51.64163693,13.97965087,-0.196326719
51.7606832,13.97965203,-0.196779327
51.88000389,13.97965319,-0.197232978
51.99959965,13.97965436,-0.197687675
52.11947111,13.97965553,-0.198143421
52.2396189,13.97965671,-0.198600218
52.36004366,13.97965789,-0.199058068
52.48074602,13.97965908,-0.199516973
52.60172664,13.97966028,-0.199976937
52.72298614,13.97966148,-0.200437961
52.84452518,13.97966269,-0.200900048
52.96634439,13.9796639,-0.2013632
